name,zone,difficulty,active_time,weight,meat_stars,drops,recipes,image_url,image_filename,wiki_url,caught,breeding_pair,is_dlc,is_event_locked,best_capture_method
Clearfin Lionfish,Blue Hole Shallows (0-50m)[],4,Night,1.7kg,3,,Clearfin Lionfish Sushi; Moonlight Bladderwrack Roll,https://static.wikia.nocookie.net/dave-the-diver/images/b/b2/Clearfin_Lionfish_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20231225175749,Clearfin_Lionfish.png,https://dave-the-diver.fandom.com/wiki/Clearfin_Lionfish,False,False,False,False,Harpoon (2-star)
Clownfish,Blue Hole Shallows (0-50m)[],1,Day,0.2kg,3,,Clownfish Sushi; Roasted Tropical Fish and Garlic,https://static.wikia.nocookie.net/dave-the-diver/images/f/fc/ClownFish_Thumbnail.png/revision/latest?cb=20230725180350,Clownfish.png,https://dave-the-diver.fandom.com/wiki/Clownfish,False,False,False,False,Harpoon (2-star)
Comber,Blue Hole Shallows (0-50m)[],1,Day,0.2kg,3,,Comber Sushi; Comber Sandwich,https://static.wikia.nocookie.net/dave-the-diver/images/d/d9/Comber_Thumbnail.png/revision/latest?cb=20230727180248,Comber.png,https://dave-the-diver.fandom.com/wiki/Comber,False,False,False,False,Harpoon (2-star)
Copper Shark,Blue Hole Shallows (0-50m)[],6,Night,4kg,9,,Copper shark Sushi; Shark Karaage,https://static.wikia.nocookie.net/dave-the-diver/images/d/d3/Copper_Shark_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230728040629,Copper_Shark.png,https://dave-the-diver.fandom.com/wiki/Copper_Shark,False,False,False,False,Harpoon (2-star)
Emperor Angelfish,Blue Hole Shallows (0-50m)[],1,Day,0.4kg,3,,Emperor Angelfish Sushi,https://static.wikia.nocookie.net/dave-the-diver/images/c/ca/Emperor_AngelFish_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230727180510,Emperor_Angelfish.png,https://dave-the-diver.fandom.com/wiki/Emperor_Angelfish,False,False,False,False,Harpoon (2-star)
European Lobster,Blue Hole Shallows (0-50m)[],5,Day,1kg,3,,European Lobster Sushi; Godzilla vs. Ebirah Curry,https://static.wikia.nocookie.net/dave-the-diver/images/f/f3/European_Lobster_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20240612160213,European_Lobster.png,https://dave-the-diver.fandom.com/wiki/European_Lobster,False,False,False,False,Harpoon (2-star)
Flame Angelfish,Blue Hole Shallows (0-50m)[],1,Day,0.2kg,3,,Flame Angelfish Sushi,https://static.wikia.nocookie.net/dave-the-diver/images/9/97/Flame_AngelFish_Thumbnail.png/revision/latest?cb=20230727180609,Flame_Angelfish.png,https://dave-the-diver.fandom.com/wiki/Flame_Angelfish,False,False,False,False,Harpoon (2-star)
Fried Egg Jellyfish,Blue Hole Shallows (0-50m)[],2,Day,1kg,3,,Fried Egg Jellyfish Sushi; Seasoned Jellyfish,https://static.wikia.nocookie.net/dave-the-diver/images/8/80/Fried_Egg_Jellyfish_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230727180705,Fried_Egg_Jellyfish.png,https://dave-the-diver.fandom.com/wiki/Fried_Egg_Jellyfish,False,False,False,False,Harpoon (2-star)
Great White Shark Klaus,Blue Hole Shallows (0-50m)[],99,Night,1kg,1,Klaus's Fin,White Shark Omelet,https://static.wikia.nocookie.net/dave-the-diver/images/d/d2/Boss_Great_White_Shark_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230728052532,Great_White_Shark_Klaus.png,https://dave-the-diver.fandom.com/wiki/Great_White_Shark_Klaus,False,False,True,True,Special boss method
Green Humphead Parrotfish,Blue Hole Shallows (0-50m)[],3,Day,1.8kg,9,,Green Humphead Parrotfish Sushi; Humphead Parrotfish Curry,https://static.wikia.nocookie.net/dave-the-diver/images/b/b0/Green_Humphead_Parrotfish_Thumbnail.png/revision/latest/scale-to-width-down/43?cb=20230727180813,Green_Humphead_Parrotfish.png,https://dave-the-diver.fandom.com/wiki/Green_Humphead_Parrotfish,False,False,False,False,Harpoon (2-star)
Green Sea Urchin,Blue Hole Shallows (0-50m)[],5,Both,1kg,1,,Chirashi Sushi; Cold Jellyfish & Green Sea Urchin Salad; Deep-Fried Sea Urchin; Green Sea Urchin & Cucumber Salad,https://static.wikia.nocookie.net/dave-the-diver/images/f/ff/Green_Sea_Urchin_Thumbnail.png/revision/latest/scale-to-width-down/44?cb=20241122111303,Green_Sea_Urchin.png,https://dave-the-diver.fandom.com/wiki/Green_Sea_Urchin,False,False,False,False,Harpoon (2-star)
Jayakar's Seahorse,Blue Hole Shallows (0-50m)[],1,Day,0.5kg,5,,Fried Seahorses; Seahorse Salad; Seahorse Skewers; Seahorse Udon,https://static.wikia.nocookie.net/dave-the-diver/images/a/a5/Seahorse_12_Thumbnail.png/revision/latest/scale-to-width-down/26?cb=20230728052738,Jayakars_Seahorse.png,https://dave-the-diver.fandom.com/wiki/Jayakar%27s_Seahorse,False,False,False,False,Bug Net (3-star)
Lagoon Triggerfish,Blue Hole Shallows (0-50m)[],1,Day,0.7kg,3,,Rainbow Cap Triggerfish Fishcake; Reef Triggerfish Sushi,https://static.wikia.nocookie.net/dave-the-diver/images/7/72/Reef_Triggerfish_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230727181019,Lagoon_Triggerfish.png,https://dave-the-diver.fandom.com/wiki/Lagoon_Triggerfish,False,False,False,False,Harpoon (2-star)
Long-Snouted Seahorse,Blue Hole Shallows (0-50m)[],4,Day,0.5kg,5,,Fried Seahorses; Seahorse Salad; Seahorse Skewers; Seahorse Udon,https://static.wikia.nocookie.net/dave-the-diver/images/2/23/Seahorse_14_Thumbnail.png/revision/latest/scale-to-width-down/25?cb=20230727181444,Long_Snouted_Seahorse.png,https://dave-the-diver.fandom.com/wiki/Long-Snouted_Seahorse,False,False,False,False,Bug Net (3-star)
Longfin Batfish,Blue Hole Shallows (0-50m)[],1,Day,0.8kg,5,,Batfish Ricebowl; Longfin Batfish Sushi,https://static.wikia.nocookie.net/dave-the-diver/images/4/49/Longfin_BatFish_Thumbnail.png/revision/latest/scale-to-width-down/27?cb=20230727185334,Longfin_Batfish.png,https://dave-the-diver.fandom.com/wiki/Longfin_Batfish,False,False,False,False,Harpoon (2-star)
Longspine Porcupinefish,Blue Hole Shallows (0-50m)[],5,Night,3.5kg,3,,Pufferfish Dumpling Soup; Seasoned Long-spine Porcupinefish Skin,https://static.wikia.nocookie.net/dave-the-diver/images/c/cc/Longspine_Porcupinefish_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20231225183601,Longspine_Porcupinefish.png,https://dave-the-diver.fandom.com/wiki/Longspine_Porcupinefish,False,False,False,False,Harpoon (2-star)
Longspine Squirrelfish,Blue Hole Shallows (0-50m)[],5,Night,0.4kg,3,,Longspine Squirrelfish Sushi; Moonlight Bladderwrack Roll,https://static.wikia.nocookie.net/dave-the-diver/images/0/0c/Longspine_Squirrelfish_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20231225183912,Longspine_Squirrelfish.png,https://dave-the-diver.fandom.com/wiki/Longspine_Squirrelfish,False,False,False,False,Harpoon (2-star)
Mantis Shrimp,Blue Hole Shallows (0-50m)[],99,Night,1kg,1,Mantis Shrimp Meat; Mantis Shrimp Tail,Boiled Mantis Shrimp with Soy Paste,https://static.wikia.nocookie.net/dave-the-diver/images/7/7c/Boss_MantisShrimp_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230728052534,Mantis_Shrimp.png,https://dave-the-diver.fandom.com/wiki/Mantis_Shrimp,False,False,True,True,Special boss method
Marbled Electric Ray,Blue Hole Shallows (0-50m)[],6,Day,3.5kg,9,Marbled Electric Ray Meat; Marbled Electric Ray Electroplax,Marbled Electric Ray Sushi; Dried Stingray,https://static.wikia.nocookie.net/dave-the-diver/images/f/fc/Marbled_Electric_Ray_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230727185429,Marbled_Electric_Ray.png,https://dave-the-diver.fandom.com/wiki/Marbled_Electric_Ray,False,False,False,False,Harpoon (2-star)
Marlin,Blue Hole Shallows (0-50m)[],8,Day,7.5kg,9,Marlin Meat,Marlin Sushi; Marlin and Soybean Paste Roast,https://static.wikia.nocookie.net/dave-the-diver/images/1/13/Striped_Marlin_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230727185533,Marlin.png,https://dave-the-diver.fandom.com/wiki/Marlin,False,False,False,False,Tranquilizer/Net (3-star)
Mediterranean Parrotfish,Blue Hole Shallows (0-50m)[],1,Day,2kg,5,,Black Vinegar Braised Parrotfish; Mediterranean Parrotfish Sushi,https://static.wikia.nocookie.net/dave-the-diver/images/7/7b/Mediterranean_Parrotfish_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230727185602,Mediterranean_Parrotfish.png,https://dave-the-diver.fandom.com/wiki/Mediterranean_Parrotfish,False,False,False,False,Harpoon (2-star)
Moray Eel,Blue Hole Shallows (0-50m)[],5,Night,9kg,7,Moray Eel Jawbone,Moray Eel Sushi; Moray Eel Curry,https://static.wikia.nocookie.net/dave-the-diver/images/3/33/Moray_eel_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230727185729,Moray_Eel.png,https://dave-the-diver.fandom.com/wiki/Moray_Eel,False,False,False,False,Harpoon (2-star)
Orbicular Batfish,Blue Hole Shallows (0-50m)[],1,Day,0.3kg,3,,Batfish Ricebowl; Orbicular Batfish Fry,https://static.wikia.nocookie.net/dave-the-diver/images/f/ff/Juvenile_Circular_BatFish_Thumbnail.png/revision/latest?cb=20230727190754,Orbicular_Batfish.png,https://dave-the-diver.fandom.com/wiki/Orbicular_Batfish,False,False,False,False,Harpoon (2-star)
Ornate Wrasse,Blue Hole Shallows (0-50m)[],1,Day,0.5kg,3,,Ornate Wrasse Sushi; Wrasse Curry,https://static.wikia.nocookie.net/dave-the-diver/images/d/d2/Ornate_Wrasse_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230727190815,Ornate_Wrasse.png,https://dave-the-diver.fandom.com/wiki/Ornate_Wrasse,False,False,False,False,Harpoon (2-star)
Pacific Seahorse,Blue Hole Shallows (0-50m)[],1,Day,0.5kg,5,,Fried Seahorses; Seahorse Salad; Seahorse Skewers; Seahorse Udon,https://static.wikia.nocookie.net/dave-the-diver/images/3/36/Seahorse_15_Thumbnail.png/revision/latest/scale-to-width-down/27?cb=20230728052743,Pacific_Seahorse.png,https://dave-the-diver.fandom.com/wiki/Pacific_Seahorse,False,False,False,False,Bug Net (3-star)
Purple Sea Urchin,Blue Hole Shallows (0-50m)[],5,Day,1kg,1,,Purple Sea Urchin Sushi; Rice with Purple Sea Urchin Sushi; Truffle Sailfish Tartare; Deep-Fried Sea Urchin,https://static.wikia.nocookie.net/dave-the-diver/images/d/d0/Purple_Sea_Urchin_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230727192957,Purple_Sea_Urchin.png,https://dave-the-diver.fandom.com/wiki/Purple_Sea_Urchin,False,False,False,False,Harpoon (2-star)
Pyramid Butterflyfish,Blue Hole Shallows (0-50m)[],1,Day,0.4kg,3,,Pyramid Butterflyfish Sushi; Roasted Tropical Fish and Garlic,https://static.wikia.nocookie.net/dave-the-diver/images/6/68/Pyramid_butterflyFish_Thumbnail.png/revision/latest?cb=20230727193136,Pyramid_Butterflyfish.png,https://dave-the-diver.fandom.com/wiki/Pyramid_Butterflyfish,False,False,False,False,Harpoon (2-star)
Rainbow Wrasse,Blue Hole Shallows (0-50m)[],1,Day,0.6kg,3,,Rainbow Wrasse Sushi; Wrasse Curry,https://static.wikia.nocookie.net/dave-the-diver/images/c/c7/Mediterranean_Rainbow_Wrasse_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230727193338,Rainbow_Wrasse.png,https://dave-the-diver.fandom.com/wiki/Rainbow_Wrasse,False,False,False,False,Harpoon (2-star)
Red Lionfish,Blue Hole Shallows (0-50m)[],2,Both,1.5kg,3,Red Lionfish Thorn,Red Lionfish Sushi; Deep-Fried Red Lionfish,https://static.wikia.nocookie.net/dave-the-diver/images/8/86/Red_Lionfish_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230727193423,Red_Lionfish.png,https://dave-the-diver.fandom.com/wiki/Red_Lionfish,False,False,False,False,Harpoon (2-star)
Red-banded Lobster,Blue Hole Shallows (0-50m)[],5,Night,0.1kg,3,,Red-banded Lobster Sushi,https://static.wikia.nocookie.net/dave-the-diver/images/6/6d/Red-Banded_Lobster_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20231228013211,Red_banded_Lobster.png,https://dave-the-diver.fandom.com/wiki/Red-banded_Lobster,False,False,False,False,Harpoon (2-star)
Redtoothed Triggerfish,Blue Hole Shallows (0-50m)[],1,Day,1kg,5,,Redtoothed Triggerfish Sushi; Salt-grilled Redtoothed Triggerfish,https://static.wikia.nocookie.net/dave-the-diver/images/c/c7/Redtoothed_Triggerfish_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230727193701,Redtoothed_Triggerfish.png,https://dave-the-diver.fandom.com/wiki/Redtoothed_Triggerfish,False,False,False,False,Harpoon (2-star)
Salema Porgy,Blue Hole Shallows (0-50m)[],1,Day,0.4kg,3,,Salema Porgy Sushi,https://static.wikia.nocookie.net/dave-the-diver/images/6/6e/Salema_Porgy_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20231225184146,Salema_Porgy.png,https://dave-the-diver.fandom.com/wiki/Salema_Porgy,False,False,False,False,Harpoon (2-star)
Sea Goldie,Blue Hole Shallows (0-50m)[],1,Day,0.3kg,3,,Sea Goldie Sushi,https://static.wikia.nocookie.net/dave-the-diver/images/9/9d/SquareSpot_Anthias_Thumbnail.png/revision/latest?cb=20230727194300,Sea_Goldie.png,https://dave-the-diver.fandom.com/wiki/Sea_Goldie,False,False,False,False,Harpoon (2-star)
Sheepshead,Blue Hole Shallows (0-50m)[],5,Day,1.8kg,9,Sheepshead Meat,Sheepshead Sushi; Boiled Asian Sheepshead Wrasse & Truffle,https://static.wikia.nocookie.net/dave-the-diver/images/8/80/Asian_Sheepshead_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230727194516,Sheepshead.png,https://dave-the-diver.fandom.com/wiki/Sheepshead,False,False,False,False,Harpoon (2-star)
Shortfin Mako,Blue Hole Shallows (0-50m)[],8,Day,9kg,9,Mako Meat,Shortfin Mako Sushi,https://static.wikia.nocookie.net/dave-the-diver/images/2/26/Shortfin_Mako_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230728051516,Shortfin_Mako.png,https://dave-the-diver.fandom.com/wiki/Shortfin_Mako,False,False,False,False,Tranquilizer/Net (3-star)
Small Spotted Dart,Blue Hole Shallows (0-50m)[],1,Day,0.8kg,3,,Smallspotted Dart Kajime Soup; Smallspotted Dart Sushi,https://static.wikia.nocookie.net/dave-the-diver/images/7/7d/Smallspotted_dart_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230727194642,Small_Spotted_Dart.png,https://dave-the-diver.fandom.com/wiki/Small_Spotted_Dart,False,False,False,False,Harpoon (2-star)
Starry Puffer,Blue Hole Shallows (0-50m)[],3,Both,3kg,3,Starry Puffer Poison Sack,Stellate Puffer Special Sushi; Stellate Puffer Nicogori; Pufferfish Dumpling Soup,https://static.wikia.nocookie.net/dave-the-diver/images/2/23/Stellate_Puffer_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230727194704,Starry_Puffer.png,https://dave-the-diver.fandom.com/wiki/Starry_Puffer,False,False,False,False,Harpoon (2-star)
Stingray,Blue Hole Shallows (0-50m)[],6,Day,3kg,9,Stingray Meat,Stingray Sushi; Dried Stingray,https://static.wikia.nocookie.net/dave-the-diver/images/2/24/Red_Stingray_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230727194838,Stingray.png,https://dave-the-diver.fandom.com/wiki/Stingray,False,False,False,False,Harpoon (2-star)
Striped Catfish,Blue Hole Shallows (0-50m)[],5,Day,0.3kg,3,,Plotosid Pie; Striped Catfish Sushi,https://static.wikia.nocookie.net/dave-the-diver/images/c/c4/Striped_Catfish_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230727194901,Striped_Catfish.png,https://dave-the-diver.fandom.com/wiki/Striped_Catfish,False,False,False,False,Harpoon (2-star)
Thresher Shark,Blue Hole Shallows (0-50m)[],9,Day,8.5kg,9,Thresher Shark Tail; Thresher Shark Meat,Thresher Shark Sushi,https://static.wikia.nocookie.net/dave-the-diver/images/7/71/Thresher_Shark_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230728045756,Thresher_Shark.png,https://dave-the-diver.fandom.com/wiki/Thresher_Shark,False,False,False,False,Tranquilizer/Net (3-star)
Titan Triggerfish,Blue Hole Shallows (0-50m)[],2,Both,3.8kg,5,,Titan Triggerfish Sushi; Tropical Fish Sushi Set,https://static.wikia.nocookie.net/dave-the-diver/images/0/03/Titan_Triggerfish_Thumbnail.png/revision/latest/scale-to-width-down/44?cb=20230727195009,Titan_Triggerfish.png,https://dave-the-diver.fandom.com/wiki/Titan_Triggerfish,False,False,False,False,Harpoon (2-star)
Truck Hermit Crab,Blue Hole Shallows (0-50m)[],99,Night,1kg,1,Truck Hermit Crab Legs; Hermit Crab Pincer Piece,Stir-Fried Hermit Crab and Seaweed,https://static.wikia.nocookie.net/dave-the-diver/images/8/8a/Boss_Crab_Hermit_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230728052527,Truck_Hermit_Crab.png,https://dave-the-diver.fandom.com/wiki/Truck_Hermit_Crab,False,False,True,True,Special boss method
White Shrimp,Blue Hole Shallows (0-50m)[],7,Both,0.1kg,5,,Boiled and Deep-Fried White Shrimp; Humboldt Ink Pasta; Rice with White Shrimp Meat; White Shrimp Sushi,https://static.wikia.nocookie.net/dave-the-diver/images/3/3f/White_Shrimp_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230728045549,White_Shrimp.png,https://dave-the-diver.fandom.com/wiki/White_Shrimp,False,False,False,False,Harpoon (2-star)
Whiteleg Shrimp,Blue Hole Shallows (0-50m)[],5,Day,0.1kg,5,,Boiled and Deep-Fried White Shrimp; Cooked Whiteleg Shrimp Sushi; Special Fried Shrimp Sushi; Mianbao Xia; Deep-Fried Eggplant Shrimp Meatballs,https://static.wikia.nocookie.net/dave-the-diver/images/c/ca/Whiteleg_Shrimp_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230727195049,Whiteleg_Shrimp.png,https://dave-the-diver.fandom.com/wiki/Whiteleg_Shrimp,False,False,False,False,Harpoon (2-star)
Whitetip Reefshark,Blue Hole Shallows (0-50m)[],4,Both,2.5kg,9,Whitetip Reefshark Tooth; Whitetip Reefshark Head; Whitetip Reefshark Meat,Whitetip Reefshark Sushi; Whole-Roasted Shark Head,https://static.wikia.nocookie.net/dave-the-diver/images/9/95/Whitetip_Reefshark_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230727050737,Whitetip_Reefshark.png,https://dave-the-diver.fandom.com/wiki/Whitetip_Reefshark,False,False,False,False,Harpoon (2-star)
Yellow Tang,Blue Hole Shallows (0-50m)[],1,Day,0.4kg,3,,Yellow Tang Sushi,https://static.wikia.nocookie.net/dave-the-diver/images/9/94/Yellow_Tang_Thumbnail.png/revision/latest?cb=20230727195211,Yellow_Tang.png,https://dave-the-diver.fandom.com/wiki/Yellow_Tang,False,False,False,False,Harpoon (2-star)
Yellowback Fusilier,Blue Hole Shallows (0-50m)[],1,Day,0.8kg,3,,Yellowback Fusilier Sushi; Boiled Yellowback Fusilier,https://static.wikia.nocookie.net/dave-the-diver/images/0/0b/Yellowback_Fusilier_Thumbnail.png/revision/latest?cb=20230727195556,Yellowback_Fusilier.png,https://dave-the-diver.fandom.com/wiki/Yellowback_Fusilier,False,False,False,False,Harpoon (2-star)
Yellowfin Tuna,Blue Hole Shallows (0-50m)[],7,Day,6kg,9,Yellowfin Tuna Akami; Yellowfin Tuna Chutoro; Yellowfin Tuna Ootoro,Yellowfin Tuna Akami Sushi; Hawaiian Poke; Yellowfin Tuna Chutoro Sushi; Yellowfin Tuna Steak; Yellowfin Tuna Ootoro Sushi; Hyalonema Tuna Sashimi,https://static.wikia.nocookie.net/dave-the-diver/images/3/3b/YellowFin_Tuna_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230727195723,Yellowfin_Tuna.png,https://dave-the-diver.fandom.com/wiki/Yellowfin_Tuna,False,False,False,False,Harpoon (2-star)
Zebra Shark,Blue Hole Shallows (0-50m)[],8,Night,10.5kg,9,Zebra Shark Meat,Zebra Shark Sushi,https://static.wikia.nocookie.net/dave-the-diver/images/3/39/Zebra_Shark_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230728045555,Zebra_Shark.png,https://dave-the-diver.fandom.com/wiki/Zebra_Shark,False,False,False,False,Tranquilizer/Net (3-star)
Atlantic Anglerfish,Blue Hole Medium Depth (50-130m)[],4,Day,5.5kg,5,,Atlantic Anglerfish Sushi; Steamed Hyalonema Angler Fish,https://static.wikia.nocookie.net/dave-the-diver/images/6/6c/Atlantic_Anglerfish_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230728040545,Atlantic_Anglerfish.png,https://dave-the-diver.fandom.com/wiki/Atlantic_Anglerfish,False,False,False,False,Harpoon (2-star)
Atlantic Bonito,Blue Hole Medium Depth (50-130m)[],2,Day,4kg,5,,Atlantic Bonito Curry; Atlantic Bonito Sushi,https://static.wikia.nocookie.net/dave-the-diver/images/0/0a/Atlantic_Bonito_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230728040546,Atlantic_Bonito.png,https://dave-the-diver.fandom.com/wiki/Atlantic_Bonito,False,False,False,False,Harpoon (2-star)
Atlantic Mackerel,Blue Hole Medium Depth (50-130m)[],3,Day,3.5kg,5,,Atlantic Mackerel Sushi; Smoked Atlantic Mackerel Scramble; Warm Atlantic Mackerel Soba,https://static.wikia.nocookie.net/dave-the-diver/images/d/d7/Atlantic_Mackerel_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230728040546,Atlantic_Mackerel.png,https://dave-the-diver.fandom.com/wiki/Atlantic_Mackerel,False,False,False,False,Harpoon (2-star)
Bigeye Scad,Blue Hole Medium Depth (50-130m)[],1,Day,0.6kg,3,,Bigeye Scad Sushi; Big-Eyed Scad and Soybean Paste Roast,https://static.wikia.nocookie.net/dave-the-diver/images/1/1d/Bigeye_Scad_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230728040554,Bigeye_Scad.png,https://dave-the-diver.fandom.com/wiki/Bigeye_Scad,False,False,False,False,Harpoon (2-star)
Bigeye Trevally,Blue Hole Medium Depth (50-130m)[],2,Day,3kg,5,,Bigeye Trevally Sushi; Trevally Sandwich,https://static.wikia.nocookie.net/dave-the-diver/images/b/b6/Bigeye_Trevally_Thumbnail.png/revision/latest/scale-to-width-down/48?cb=20230728040554,Bigeye_Trevally.png,https://dave-the-diver.fandom.com/wiki/Bigeye_Trevally,False,False,False,False,Harpoon (2-star)
